exercise,sets,reps,weight,date,rpe,rir,logged_at
Incline Bench Press,3,8,230.0,2015-10-23,,,2015-10-23T17:06:37
Incline Bench Press (Barbell),3,8,230.0,2015-10-23,,,2015-10-23T17:06:37
Weighted dips,6,8,315.0,2015-10-23,,,2015-10-23T17:06:37
Good Morning,2,8,115.0,2015-10-23,,,2015-10-23T22:01:34
Good Morning (Barbell),2,8,115.0,2015-10-23,,,2015-10-23T22:01:34
Leg press,3,10,430.0,2015-10-23,,,2015-10-23T22:01:34
Leg press (hinge ),3,10,430.0,2015-10-23,,,2015-10-23T22:01:34
Squat,3,6,315.0,2015-10-23,,,2015-10-23T22:01:34
Squat (Barbell),3,6,315.0,2015-10-23,,,2015-10-23T22:01:34
Chin Up,6,8,47.5,2015-10-24,,,2015-10-24T10:19:52
Lat Pulldown,4,10,150.0,2015-10-24,,,2015-10-24T10:19:52
Rear delt fly,6,12,120.0,2015-10-24,,,2015-10-24T10:19:52
Seated Cable Row (close Grip),4,8,130.0,2015-10-24,,,2015-10-24T10:19:52
Seated Row,4,8,130.0,2015-10-24,,,2015-10-24T10:19:52
Incline Bench Press,3,8,230.0,2015-10-30,,,2015-10-30T13:07:09
Incline Bench Press (Barbell),3,8,230.0,2015-10-30,,,2015-10-30T13:07:09
Weighted dips,6,8,220.0,2015-10-30,,,2015-10-30T13:07:09
Chin Up,6,8,50.0,2015-10-30,,,2015-10-30T17:47:44
Hammer Curl,1,8,80.0,2015-10-30,,,2015-10-30T17:47:44
Hammer Curl (Dumbbell ),1,8,80.0,2015-10-30,,,2015-10-30T17:47:44
Rear delt fly,6,10,115.0,2015-10-30,,,2015-10-30T17:47:44
Seated Cable Row (close Grip),3,10,175.0,2015-10-30,,,2015-10-30T17:47:44
Seated Row,3,10,175.0,2015-10-30,,,2015-10-30T17:47:44
Glute extension.,4,10,175.0,2015-11-01,,,2015-11-01T11:23:25
Squat,2,8,295.0,2015-11-01,,,2015-11-01T11:23:25
Squat (Barbell),2,8,295.0,2015-11-01,,,2015-11-01T11:23:25
Incline Bench Press,3,8,230.0,2015-11-04,,,2015-11-04T19:21:19
Incline Bench Press (Barbell),3,8,230.0,2015-11-04,,,2015-11-04T19:21:19
Seated Military Press,2,8,155.0,2015-11-04,,,2015-11-04T19:21:19
Seated Shoulder  Press (Barbell),2,8,155.0,2015-11-04,,,2015-11-04T19:21:19
Weighted dips,4,11,0.0,2015-11-04,,,2015-11-04T19:21:19
Chin Up,6,8,50.0,2015-11-06,,,2015-11-06T16:48:14
Lat Pulldown,4,12,155.0,2015-11-06,,,2015-11-06T16:48:14
Rear delt fly,8,14,115.0,2015-11-06,,,2015-11-06T16:48:14
Seated Cable Row (close Grip),2,8,160.0,2015-11-06,,,2015-11-06T16:48:14
Seated Row,2,8,160.0,2015-11-06,,,2015-11-06T16:48:14
Incline Bench Press,2,8,230.0,2015-11-08,,,2015-11-08T12:37:21
Incline Bench Press (Barbell),2,8,230.0,2015-11-08,,,2015-11-08T12:37:21
Seated Military Press,3,10,165.0,2015-11-08,,,2015-11-08T12:37:21
Seated Shoulder  Press (Barbell),3,10,165.0,2015-11-08,,,2015-11-08T12:37:21
Weighted dips,4,12,0.0,2015-11-08,,,2015-11-08T12:37:21
Glute extension.,4,10,130.0,2015-11-08,,,2015-11-08T17:45:26
Leg outward fly,6,15,100.0,2015-11-08,,,2015-11-08T17:45:26
Leg press,3,10,360.0,2015-11-08,,,2015-11-08T17:45:26
Leg press (hinge ),3,10,360.0,2015-11-08,,,2015-11-08T17:45:26
Squat,2,8,275.0,2015-11-08,,,2015-11-08T17:45:26
Squat (Barbell),2,8,275.0,2015-11-08,,,2015-11-08T17:45:26
Chin Up,6,8,52.5,2015-11-10,,,2015-11-10T17:10:12
Hammer Curl,2,15,80.0,2015-11-10,,,2015-11-10T17:10:12
Hammer Curl (Dumbbell ),2,15,80.0,2015-11-10,,,2015-11-10T17:10:12
Rear delt fly,4,12,120.0,2015-11-10,,,2015-11-10T17:10:12
Seated Cable Row (close Grip),2,10,190.0,2015-11-10,,,2015-11-10T17:10:12
Seated Row,2,10,190.0,2015-11-10,,,2015-11-10T17:10:12
Lateral Raise,2,14,40.0,2015-11-12,,,2015-11-12T18:24:01
Lateral Raise (Dumbbells),2,14,40.0,2015-11-12,,,2015-11-12T18:24:01
Seated Military Press (Dumbbell),3,10,180.0,2015-11-12,,,2015-11-12T18:24:01
Seated Shoulder Press (Dumbbell),3,10,180.0,2015-11-12,,,2015-11-12T18:24:01
Weighted dips,6,10,90.0,2015-11-12,,,2015-11-12T18:24:01
Leg press,3,12,450.0,2015-11-15,,,2015-11-15T11:30:55
Leg press (hinge ),3,12,450.0,2015-11-15,,,2015-11-15T11:30:55
Squat,2,7,185.0,2015-11-15,,,2015-11-15T11:30:55
Squat (Barbell),2,7,185.0,2015-11-15,,,2015-11-15T11:30:55
Bicep Curl (Barbell),2,14,70.0,2015-11-16,,,2015-11-16T18:10:32
Bicep Curl (barbell ),2,14,70.0,2015-11-16,,,2015-11-16T18:10:32
Chin Up,6,9,52.5,2015-11-16,,,2015-11-16T18:10:32
Seated Cable Row (close Grip),3,10,130.0,2015-11-16,,,2015-11-16T18:10:32
Seated Row,3,10,130.0,2015-11-16,,,2015-11-16T18:10:32
T-bar Row,4,10,100.0,2015-11-16,,,2015-11-16T18:10:32
Incline Bench Press,2,8,232.5,2015-11-18,,,2015-11-18T17:33:57
Incline Bench Press (Barbell),2,8,232.5,2015-11-18,,,2015-11-18T17:33:57
Incline Press (Dumbbell),2,11,120.0,2015-11-18,,,2015-11-18T17:33:57
Lateral Raise,3,12,50.0,2015-11-18,,,2015-11-18T17:33:57
Lateral Raise (Dumbbells),3,12,50.0,2015-11-18,,,2015-11-18T17:33:57
Tricep pushdown,4,15,70.0,2015-11-18,,,2015-11-18T17:33:57
Weighted dips,4,12,50.0,2015-11-18,,,2015-11-18T17:33:57
Bicep Curl (Barbell),3,12,80.0,2015-11-21,,,2015-11-21T18:32:29
Bicep Curl (barbell ),3,12,80.0,2015-11-21,,,2015-11-21T18:32:29
Chin Up,8,12,0.0,2015-11-21,,,2015-11-21T18:32:29
Rear delt fly,6,15,115.0,2015-11-21,,,2015-11-21T18:32:29
Seated Cable Row (close Grip),3,12,160.0,2015-11-21,,,2015-11-21T18:32:29
Seated Row,3,12,160.0,2015-11-21,,,2015-11-21T18:32:29
Incline Bench Press,1,10,138.0,2015-11-24,,,2015-11-24T16:45:06
Incline Bench Press (Barbell),1,10,138.0,2015-11-24,,,2015-11-24T16:45:06
Seated Military Press,2,11,135.0,2015-11-24,,,2015-11-24T16:45:06
Seated Military Press (Dumbbell),3,12,180.0,2015-11-24,,,2015-11-24T16:45:06
Seated Shoulder  Press (Barbell),2,11,135.0,2015-11-24,,,2015-11-24T16:45:06
Seated Shoulder Press (Dumbbell),3,12,180.0,2015-11-24,,,2015-11-24T16:45:06
Weighted dips,6,10,90.0,2015-11-24,,,2015-11-24T16:45:06
Squat,3,8,225.0,2015-11-25,,,2015-11-25T18:53:35
Squat (Barbell),3,8,225.0,2015-11-25,,,2015-11-25T18:53:35
Chin Up,6,8,52.5,2015-11-26,,,2015-11-26T11:43:16
Lat Pulldown,2,10,150.0,2015-11-26,,,2015-11-26T11:43:16
Rear delt fly,4,10,120.0,2015-11-26,,,2015-11-26T11:43:16
Seated Cable Row (close Grip),5,10,185.0,2015-11-26,,,2015-11-26T11:43:16
Seated Row,5,10,185.0,2015-11-26,,,2015-11-26T11:43:16
Incline Bench Press,2,8,230.0,2015-11-28,,,2015-11-28T16:28:30
Incline Bench Press (Barbell),2,8,230.0,2015-11-28,,,2015-11-28T16:28:30
Lateral Raise,3,12,50.0,2015-11-28,,,2015-11-28T16:28:30
Lateral Raise (Dumbbells),3,12,50.0,2015-11-28,,,2015-11-28T16:28:30
Tricep Extension,4,10,75.0,2015-11-28,,,2015-11-28T16:28:30
Weighted dips,8,12,0.0,2015-11-28,,,2015-11-28T16:28:30
Bicep Curl (Barbell),2,12,80.0,2015-11-30,,,2015-11-30T14:23:13
Bicep Curl (barbell ),2,12,80.0,2015-11-30,,,2015-11-30T14:23:13
Chin Up,8,12,25.0,2015-11-30,,,2015-11-30T14:23:13
Rear delt fly,6,13,125.0,2015-11-30,,,2015-11-30T14:23:13
Seated Cable Row (close Grip),3,10,175.0,2015-11-30,,,2015-11-30T14:23:13
Seated Row,3,10,175.0,2015-11-30,,,2015-11-30T14:23:13
Incline Bench Press,3,8,235.0,2015-12-02,,,2015-12-02T17:13:03
Incline Bench Press (Barbell),3,8,235.0,2015-12-02,,,2015-12-02T17:13:03
Lateral Raise,2,10,50.0,2015-12-02,,,2015-12-02T17:13:03
Lateral Raise (Dumbbells),2,10,50.0,2015-12-02,,,2015-12-02T17:13:03
Weighted dips,6,10,0.0,2015-12-02,,,2015-12-02T17:13:03
Squat,2,8,225.0,2015-12-02,,,2015-12-02T17:35:51
Squat (Barbell),2,8,225.0,2015-12-02,,,2015-12-02T17:35:51
Bent Over Row (Dumbbell),6,12,150.0,2015-12-04,,,2015-12-04T14:01:58
Bicep Curl (Barbell),3,12,80.0,2015-12-04,,,2015-12-04T14:01:58
Bicep Curl (barbell ),3,12,80.0,2015-12-04,,,2015-12-04T14:01:58
Chin Up,8,12,0.0,2015-12-04,,,2015-12-04T14:01:58
Lat Pulldown,2,9,145.0,2015-12-04,,,2015-12-04T14:01:58
Rear delt fly,6,14,115.0,2015-12-04,,,2015-12-04T14:01:58
Incline Bench Press,3,8,135.0,2015-12-06,,,2015-12-06T10:53:19
Incline Bench Press (Barbell),3,8,135.0,2015-12-06,,,2015-12-06T10:53:19
Seated Military Press,2,10,155.0,2015-12-06,,,2015-12-06T10:53:19
Seated Shoulder  Press (Barbell),2,10,155.0,2015-12-06,,,2015-12-06T10:53:19
Weighted dips,2,10,25.0,2015-12-06,,,2015-12-06T10:53:19
Good Morning,3,10,95.0,2015-12-07,,,2015-12-07T19:37:54
Good Morning (Barbell),3,10,95.0,2015-12-07,,,2015-12-07T19:37:54
Leg press,3,10,500.01,2015-12-07,,,2015-12-07T19:37:54
Leg press (hinge ),3,10,500.01,2015-12-07,,,2015-12-07T19:37:54
Squat,4,6,315.0,2015-12-07,,,2015-12-07T19:37:54
Squat (Barbell),4,6,315.0,2015-12-07,,,2015-12-07T19:37:54
Bicep Curl (Barbell),2,12,80.0,2015-12-09,,,2015-12-09T12:44:47
Bicep Curl (barbell ),2,12,80.0,2015-12-09,,,2015-12-09T12:44:47
Chin Up,6,8,50.0,2015-12-09,,,2015-12-09T12:44:47
Lat Pulldown,6,10,150.0,2015-12-09,,,2015-12-09T12:44:47
Rear delt fly,6,12,125.0,2015-12-09,,,2015-12-09T12:44:47
Seated Cable Row (close Grip),2,10,175.0,2015-12-09,,,2015-12-09T12:44:47
Seated Row,2,10,175.0,2015-12-09,,,2015-12-09T12:44:47
Incline Bench Press,3,8,237.5,2015-12-11,,,2015-12-11T16:21:05
Incline Bench Press (Barbell),3,8,237.5,2015-12-11,,,2015-12-11T16:21:05
Seated Military Press (Dumbbell),2,9,120.0,2015-12-11,,,2015-12-11T16:21:05
Seated Shoulder Press (Dumbbell),2,9,120.0,2015-12-11,,,2015-12-11T16:21:05
Tricep Extension,4,10,80.0,2015-12-11,,,2015-12-11T16:21:05
Leg curl,4,12,115.0,2015-12-12,,,2015-12-12T15:29:38
Squat,3,6,315.0,2015-12-12,,,2015-12-12T15:29:38
Squat (Barbell),3,6,315.0,2015-12-12,,,2015-12-12T15:29:38
Bicep Curl (Barbell),3,12,90.0,2015-12-15,,,2015-12-15T18:28:20
Bicep Curl (barbell ),3,12,90.0,2015-12-15,,,2015-12-15T18:28:20
Chin Up,4,8,52.5,2015-12-15,,,2015-12-15T18:28:20
Rear delt fly,6,15,125.0,2015-12-15,,,2015-12-15T18:28:20
Seated Cable Row (close Grip),3,10,190.0,2015-12-15,,,2015-12-15T18:28:20
Seated Row,3,10,190.0,2015-12-15,,,2015-12-15T18:28:20
Lateral Raise,2,12,50.0,2015-12-16,,,2015-12-16T18:08:00
Lateral Raise (Dumbbells),2,12,50.0,2015-12-16,,,2015-12-16T18:08:00
Seated Military Press (Dumbbell),3,12,180.0,2015-12-16,,,2015-12-16T18:08:00
Seated Shoulder Press (Dumbbell),3,12,180.0,2015-12-16,,,2015-12-16T18:08:00
Weighted dips,6,12,95.0,2015-12-16,,,2015-12-16T18:08:00
Leg curl,6,12,130.0,2015-12-18,,,2015-12-18T17:40:08
Squat,3,8,275.0,2015-12-18,,,2015-12-18T17:40:08
Squat (Barbell),3,8,275.0,2015-12-18,,,2015-12-18T17:40:08
Incline Bench Press,3,8,237.5,2015-12-20,,,2015-12-20T13:46:49
Incline Bench Press (Barbell),3,8,237.5,2015-12-20,,,2015-12-20T13:46:49
Incline Press (Dumbbell),2,10,150.0,2015-12-20,,,2015-12-20T13:46:49
Lateral Raise,2,12,30.0,2015-12-20,,,2015-12-20T13:46:49
Lateral Raise (Dumbbells),2,12,30.0,2015-12-20,,,2015-12-20T13:46:49
Tricep pushdown,6,10,80.0,2015-12-20,,,2015-12-20T13:46:49
Weighted dips,6,10,45.0,2015-12-20,,,2015-12-20T13:46:49
Bent Over Row (Dumbbell),6,10,180.0,2015-12-22,,,2015-12-22T17:22:42
Bicep Curl (Barbell),2,10,95.0,2015-12-22,,,2015-12-22T17:22:42
Bicep Curl (barbell ),2,10,95.0,2015-12-22,,,2015-12-22T17:22:42
Chin Up,6,8,52.5,2015-12-22,,,2015-12-22T17:22:42
Rear delt fly,4,12,130.0,2015-12-22,,,2015-12-22T17:22:42
Seated Cable Row (close Grip),2,12,130.0,2015-12-22,,,2015-12-22T17:22:42
Seated Row,2,12,130.0,2015-12-22,,,2015-12-22T17:22:42
Leg curl,4,10,130.0,2015-12-23,,,2015-12-23T17:53:46
Leg press,2,12,450.0,2015-12-23,,,2015-12-23T17:53:46
Leg press (hinge ),2,12,450.0,2015-12-23,,,2015-12-23T17:53:46
Squat,3,6,315.0,2015-12-23,,,2015-12-23T17:53:46
Squat (Barbell),3,6,315.0,2015-12-23,,,2015-12-23T17:53:46
Incline Bench Press,3,8,235.0,2015-12-24,,,2015-12-24T11:40:14
Incline Bench Press (Barbell),3,8,235.0,2015-12-24,,,2015-12-24T11:40:14
Lateral Raise,2,12,40.0,2015-12-24,,,2015-12-24T11:40:14
Lateral Raise (Dumbbells),2,12,40.0,2015-12-24,,,2015-12-24T11:40:14
Military Press (Standing),1,10,80.0,2015-12-24,,,2015-12-24T11:40:14
Shoulder Press (Standing),1,10,80.0,2015-12-24,,,2015-12-24T11:40:14
Weighted dips,4,12,45.0,2015-12-24,,,2015-12-24T11:40:14
Chin Up,6,8,35.0,2015-12-26,,,2015-12-26T14:34:33
Hammer Curl,1,8,80.0,2015-12-26,,,2015-12-26T14:34:33
Hammer Curl (Dumbbell ),1,8,80.0,2015-12-26,,,2015-12-26T14:34:33
Lat Pulldown,6,12,150.0,2015-12-26,,,2015-12-26T14:34:33
Rear delt fly,6,12,130.0,2015-12-26,,,2015-12-26T14:34:33
Seated Cable Row (close Grip),3,10,160.0,2015-12-26,,,2015-12-26T14:34:33
Seated Row,3,10,160.0,2015-12-26,,,2015-12-26T14:34:33
Deadlift,2,5,275.0,2015-12-27,,,2015-12-27T15:07:20
Deadlift (Barbell),2,5,275.0,2015-12-27,,,2015-12-27T15:07:20
Squat,2,6,275.0,2015-12-27,,,2015-12-27T15:07:20
Squat (Barbell),2,6,275.0,2015-12-27,,,2015-12-27T15:07:20
Lateral Raise,1,12,20.0,2015-12-28,,,2015-12-28T19:05:32
Lateral Raise (Dumbbells),1,12,20.0,2015-12-28,,,2015-12-28T19:05:32
Military Press (Standing),3,10,100.0,2015-12-28,,,2015-12-28T19:05:32
Seated Military Press (Dumbbell),3,12,180.0,2015-12-28,,,2015-12-28T19:05:32
Seated Shoulder Press (Dumbbell),3,12,180.0,2015-12-28,,,2015-12-28T19:05:32
Shoulder Press (Standing),3,10,100.0,2015-12-28,,,2015-12-28T19:05:32
Weighted dips,6,10,100.0,2015-12-28,,,2015-12-28T19:05:32
Bicep Curl (Barbell),3,10,90.0,2015-12-31,,,2015-12-31T17:38:40
Bicep Curl (barbell ),3,10,90.0,2015-12-31,,,2015-12-31T17:38:40
Chin Up,8,10,0.0,2015-12-31,,,2015-12-31T17:38:40
Hammer Curl,2,10,60.0,2015-12-31,,,2015-12-31T17:38:40
Hammer Curl (Dumbbell ),2,10,60.0,2015-12-31,,,2015-12-31T17:38:40
Lat Pulldown,6,12,150.0,2015-12-31,,,2015-12-31T17:38:40
Rear delt fly,6,12,130.0,2015-12-31,,,2015-12-31T17:38:40
Seated Cable Row (close Grip),3,10,175.0,2015-12-31,,,2015-12-31T17:38:40
Seated Row,3,10,175.0,2015-12-31,,,2015-12-31T17:38:40
Squat,4,9,225.0,2016-01-01,,,2016-01-01T08:59:41
Squat (Barbell),4,9,225.0,2016-01-01,,,2016-01-01T08:59:41
Incline Bench Press,3,8,240.0,2016-01-02,,,2016-01-02T13:58:40
Incline Bench Press (Barbell),3,8,240.0,2016-01-02,,,2016-01-02T13:58:40
