exercise,sets,reps,weight,date,rpe,rir,logged_at,actual_next_weight
Incline Bench Press,3,8,230.0,2015-10-23,,,2015-10-23T17:06:37,230.0
Incline Bench Press (Barbell),3,8,230.0,2015-10-23,,,2015-10-23T17:06:37,230.0
Weighted dips,6,8,315.0,2015-10-23,,,2015-10-23T17:06:37,220.0
Good Morning,2,8,115.0,2015-10-23,,,2015-10-23T22:01:34,95.0
Good Morning (Barbell),2,8,115.0,2015-10-23,,,2015-10-23T22:01:34,95.0
Leg press,3,10,430.0,2015-10-23,,,2015-10-23T22:01:34,360.0
Leg press (hinge ),3,10,430.0,2015-10-23,,,2015-10-23T22:01:34,360.0
Squat,3,6,315.0,2015-10-23,,,2015-10-23T22:01:34,295.0
Squat (Barbell),3,6,315.0,2015-10-23,,,2015-10-23T22:01:34,295.0
Chin Up,6,8,47.5,2015-10-24,,,2015-10-24T10:19:52,50.0
Lat Pulldown,4,10,150.0,2015-10-24,,,2015-10-24T10:19:52,155.0
Rear delt fly,6,12,120.0,2015-10-24,,,2015-10-24T10:19:52,115.0
Seated Cable Row (close Grip),4,8,130.0,2015-10-24,,,2015-10-24T10:19:52,175.0
Seated Row,4,8,130.0,2015-10-24,,,2015-10-24T10:19:52,175.0
Incline Bench Press,3,8,230.0,2015-10-30,,,2015-10-30T13:07:09,230.0
Incline Bench Press (Barbell),3,8,230.0,2015-10-30,,,2015-10-30T13:07:09,230.0
Weighted dips,6,8,220.0,2015-10-30,,,2015-10-30T13:07:09,0.0
Chin Up,6,8,50.0,2015-10-30,,,2015-10-30T17:47:44,50.0
Hammer Curl,1,8,80.0,2015-10-30,,,2015-10-30T17:47:44,80.0
Hammer Curl (Dumbbell ),1,8,80.0,2015-10-30,,,2015-10-30T17:47:44,80.0
Rear delt fly,6,10,115.0,2015-10-30,,,2015-10-30T17:47:44,115.0
Seated Cable Row (close Grip),3,10,175.0,2015-10-30,,,2015-10-30T17:47:44,160.0
Seated Row,3,10,175.0,2015-10-30,,,2015-10-30T17:47:44,160.0
Glute extension.,4,10,175.0,2015-11-01,,,2015-11-01T11:23:25,130.0
Squat,2,8,295.0,2015-11-01,,,2015-11-01T11:23:25,275.0
Squat (Barbell),2,8,295.0,2015-11-01,,,2015-11-01T11:23:25,275.0
Incline Bench Press,3,8,230.0,2015-11-04,,,2015-11-04T19:21:19,230.0
Incline Bench Press (Barbell),3,8,230.0,2015-11-04,,,2015-11-04T19:21:19,230.0
Seated Military Press,2,8,155.0,2015-11-04,,,2015-11-04T19:21:19,165.0
Seated Shoulder  Press (Barbell),2,8,155.0,2015-11-04,,,2015-11-04T19:21:19,165.0
Weighted dips,4,11,0.0,2015-11-04,,,2015-11-04T19:21:19,0.0
Chin Up,6,8,50.0,2015-11-06,,,2015-11-06T16:48:14,52.5
Lat Pulldown,4,12,155.0,2015-11-06,,,2015-11-06T16:48:14,150.0
Rear delt fly,8,14,115.0,2015-11-06,,,2015-11-06T16:48:14,120.0
Seated Cable Row (close Grip),2,8,160.0,2015-11-06,,,2015-11-06T16:48:14,190.0
Seated Row,2,8,160.0,2015-11-06,,,2015-11-06T16:48:14,190.0
Incline Bench Press,2,8,230.0,2015-11-08,,,2015-11-08T12:37:21,232.5
Incline Bench Press (Barbell),2,8,230.0,2015-11-08,,,2015-11-08T12:37:21,232.5
Seated Military Press,3,10,165.0,2015-11-08,,,2015-11-08T12:37:21,135.0
Seated Shoulder  Press (Barbell),3,10,165.0,2015-11-08,,,2015-11-08T12:37:21,135.0
Weighted dips,4,12,0.0,2015-11-08,,,2015-11-08T12:37:21,90.0
Glute extension.,4,10,130.0,2015-11-08,,,2015-11-08T17:45:26,130.0
Leg outward fly,6,15,100.0,2015-11-08,,,2015-11-08T17:45:26,110.0
Leg press,3,10,360.0,2015-11-08,,,2015-11-08T17:45:26,450.0
Leg press (hinge ),3,10,360.0,2015-11-08,,,2015-11-08T17:45:26,450.0
Squat,2,8,275.0,2015-11-08,,,2015-11-08T17:45:26,185.0
Squat (Barbell),2,8,275.0,2015-11-08,,,2015-11-08T17:45:26,185.0
Chin Up,6,8,52.5,2015-11-10,,,2015-11-10T17:10:12,52.5
Hammer Curl,2,15,80.0,2015-11-10,,,2015-11-10T17:10:12,80.0
Hammer Curl (Dumbbell ),2,15,80.0,2015-11-10,,,2015-11-10T17:10:12,80.0
Rear delt fly,4,12,120.0,2015-11-10,,,2015-11-10T17:10:12,115.0
Seated Cable Row (close Grip),2,10,190.0,2015-11-10,,,2015-11-10T17:10:12,130.0
Seated Row,2,10,190.0,2015-11-10,,,2015-11-10T17:10:12,130.0
Lateral Raise,2,14,40.0,2015-11-12,,,2015-11-12T18:24:01,50.0
Lateral Raise (Dumbbells),2,14,40.0,2015-11-12,,,2015-11-12T18:24:01,50.0
Seated Military Press (Dumbbell),3,10,180.0,2015-11-12,,,2015-11-12T18:24:01,180.0
Seated Shoulder Press (Dumbbell),3,10,180.0,2015-11-12,,,2015-11-12T18:24:01,180.0
Weighted dips,6,10,90.0,2015-11-12,,,2015-11-12T18:24:01,50.0
Leg press,3,12,450.0,2015-11-15,,,2015-11-15T11:30:55,500.01
Leg press (hinge ),3,12,450.0,2015-11-15,,,2015-11-15T11:30:55,500.01
Squat,2,7,185.0,2015-11-15,,,2015-11-15T11:30:55,225.0
Squat (Barbell),2,7,185.0,2015-11-15,,,2015-11-15T11:30:55,225.0
Bicep Curl (Barbell),2,14,70.0,2015-11-16,,,2015-11-16T18:10:32,80.0
Bicep Curl (barbell ),2,14,70.0,2015-11-16,,,2015-11-16T18:10:32,80.0
Chin Up,6,9,52.5,2015-11-16,,,2015-11-16T18:10:32,0.0
Seated Cable Row (close Grip),3,10,130.0,2015-11-16,,,2015-11-16T18:10:32,160.0
Seated Row,3,10,130.0,2015-11-16,,,2015-11-16T18:10:32,160.0
T-bar Row,4,10,100.0,2015-11-16,,,2015-11-16T18:10:32,115.0
Incline Bench Press,2,8,232.5,2015-11-18,,,2015-11-18T17:33:57,138.0
Incline Bench Press (Barbell),2,8,232.5,2015-11-18,,,2015-11-18T17:33:57,138.0
